Identifier, Size, m5, p2, p4, p1, m6, p5, m1, m2, m3, m4, p3, p6
yegV;yegU;yegT, 2563.0, , , , , , , 27750:1:1:0;34250:1:1:0;44750:1:1:0;26250:2:2:1;45250:1:1:0, 27250:1:1:0;18250:1:1:0, , 32250:1:1:0;26250:2:2:0.967033, 14750:1:1:0;3250:1:4:0;15750:1:1:0, 43750:1:1:0;16250:1:1:0;21750:1:1:0;17250:2:2:1;31250:1:1:0;8750:1:1:0;8250:2:2:1;6750:2:2:1
yegX;yegW;thiM;thiD, 2622.0, , , , , , , 41250:3:3:0.790323;57750:3:6:0.253968, , 49250:1:1:0;53250:3:5:0.833333;43250:1:1:0, , 8750:1:1:0.0714286;35250:2:3:1;37750:1:1:0;46750:2:3:1, 8250:1:1:0;6750:2:2:1;7750:1:1:0;15750:1:1:0;21750:2:2:0.9875
yegZ;ECB_01989, 1590.3, , , , , , , 32250:1:1:0;45750:1:1:0, 15750:3:6:0.761905, , 14750:2:2:1;29750:1:1:0;46750:1:1:0;41750:1:1:0;8750:1:1:0, 8750:1:1:0.011236;13250:1:1:0;31750:1:1:0.0111111;11750:1:1:0, 5250:2:2:1;9250:1:1:0.00892857
yehE, 226.3, , , , , , , , , , , , 
yehK;molR;yehI, 6139.0, , , , , , , 35750:3:3:0.568966;42750:1:1:0;28250:1:1:0;55250:3:3:0.652174;51250:1:1:0, 21250:2:3:1;19750:2:3:0.96;9250:1:4:0;27250:1:1:0;26750:2:3:0.945946, 50250:1:1:0;48250:1:1:0;47750:1:1:0;48250:1:1:0;47250:1:1:0, 32750:1:1:0;28750:1:1:0;18250:1:1:0;57250:3:6:0.261905;26250:1:1:0;58750:3:6:0.0877193;26250:2:2:1;38750:3:4:0.208333;45750:3:3:0.736842;57750:3:6:0.171875;58250:3:4:0.172414, 27750:1:6:0.0416667;27750:2:3:1;17250:2:3:1;15250:1:1:0;39750:1:1:0;27750:1:1:0;25250:2:3:1;45250:1:1:0;31750:1:1:0, 21750:1:1:0;15250:1:1:0;13750:1:1:0;750:1:1:0;20250:2:2:1;6750:2:2:1;41250:1:1:0;4750:1:1:0;27750:1:1:0;29250:3:3:0.830986;57750:3:6:0.717391;25750:1:1:0;40750:3:3:0.873684;9250:1:1:0;12250:2:2:1;28750:1:1:0;5750:2:2:1;39250:3:3:0.92029;35250:1:1:0;27750:3:3:0.882812;36250:1:1:0;30750:1:1:0;29250:1:1:0;7250:1:1:0;50750:1:1:0.0106383;40750:3:3:0.918919;8250:1:1:0
yehP;yehQ;yehL;yehM, 5064.0, , , , , , , 45250:1:1:0;31750:1:1:0;37250:3:3:0.58427;34250:3:4:0.319149;45750:1:1:0;32750:1:1:0;35750:3:3:0.634921, 18250:1:1:0;22250:1:1:0, 42750:1:1:0;41250:1:1:0.0659341, 57750:1:1:0;51250:1:1:0;45250:1:1:0;18250:1:1:0;41750:1:1:0, 14750:1:1:0;35250:1:1:0;17250:2:3:1;11750:1:1:0;7750:2:2:1, 17750:2:2:1;27250:1:1:0;23750:1:1:0;7250:2:3:0.931624;40250:3:4:0.0869565;35750:1:1:0;18750:1:1:0;23250:1:1:0;3250:1:1:0;30250:1:1:0;27750:1:1:0;49250:3:4:0.0769231;29750:1:1:0;6750:1:1:0;34750:1:1:0;31250:3:4:0.0550459
yehR, 460.0, , , , , , , , , , , , 36250:1:1:0
yehS;yehT;yehU, 2384.0, , , 53250:1:1:0;55750:3:5:0.0714286, , , , 29250:1:1:0;49750:1:1:0;58750:3:6:0.131148;50750:1:1:0;30250:1:1:0, 13750:1:4:0, 53750:1:1:0;50750:1:1:0;51250:1:1:0, 3750:3:4:0.1;56250:1:1:0;43250:3:4:0.268293, 2750:2:2:1;18250:1:1:0;41250:1:1:0;34250:1:1:0, 45250:3:4:0.0756303;10250:1:1:0;43750:1:1:0.00961538;14250:1:1:0
yehV, 661.3, , , , , , , 37250:1:1:0, 19750:1:4:0;58750:3:6:0.194444;19250:1:4:0, , 37750:1:1:0;26250:1:1:0, 35250:2:3:1, 6750:1:1:0.00990099
yeiE, 781.7, , , , , , , , 22250:1:4:0.0833333, 35250:2:2:1;53250:1:1:0;49750:1:1:0, , 55750:1:1:0;3750:1:1:0, 13750:2:2:1;42750:1:1:0
yeiG, 756.3, , , , , , , 51250:1:1:0, 3250:2:3:0.977778, , 34250:1:1:0;29750:1:1:0, 12250:2:2:1;16250:2:2:0.958333;36250:1:1:0, 1750:1:1:0.0394737;17750:1:1:0;25750:1:1:0
yeiJ, 1089.3, , , , , , , , , , 55750:3:4:0.289474;34750:3:4:0.388889;34750:3:3:0.826087;41750:1:1:0, 20250:1:4:0, 750:3:3:0.920455;22750:1:1:0;20250:2:2:1;10750:1:1:0
yeiL, 583.7, , , , , , , , , , , , 20250:1:1:0
yeiM;yeiN;yeiC, 2649.0, , , , , , , 30750:1:1:0;42250:1:1:0, 4750:1:1:0, , 33750:3:4:0.193548;50750:3:3:0.666667, 42750:1:1:0;7750:1:1:0;25750:1:1:0, 8250:1:1:0;45250:1:1:0;19750:1:1:0;35250:1:1:0;8250:2:2:1;19750:1:1:0.00900901;15250:1:1:0.0102041;30250:1:1:0
yeiP, 494.3, , , , , , , , , , 55250:1:1:0;9250:1:1:0;49750:3:4:0.256098, 27250:1:1:0, 35750:1:1:0;32750:2:3:0.943925;31250:1:1:0
yeiQ, 1232.3, , , , , , , 53750:1:1:0;53250:1:1:0;52250:3:3:0.470588, 14250:1:1:0, , 57750:3:6:0.252874, 19750:2:3:1, 23250:1:1:0;1750:1:1:0;17250:2:2:0.990654
yeiS;sanA, 844.0, , , , , , , , 11750:2:3:0.926829;11750:1:1:0;13750:1:1:0, 48750:1:1:0, 47250:3:4:0.28125, 58750:2:3:1, 30750:1:1:0.0111111;10250:2:2:1;750:1:1:0
yeiT;yeiA, 2013.0, , , , , , , 54250:3:4:0.468085;58250:3:6:0.0222222, 22750:1:1:0, , 50250:1:1:0;38750:3:4:0.25, 3750:2:2:1;17250:2:3:1, 42750:1:1:0;42750:1:1:0;750:1:1:0;4750:1:1:0;29750:1:1:0.00909091;5250:2:2:1
yeiU;yeiR, 1443.0, , , , 37750:1:1:0, , , 46750:3:3:0.534247;42750:1:1:0, , 49750:1:1:0, 40750:1:1:0.031746, 27750:1:1:0, 
yeiW, 288.0, , , , , , , , 5750:1:4:0, 35250:2:2:1, , 7250:2:2:1, 16750:1:1:0
yejE;yejF;rtn;yejA;yejB, 5588.3, 48750:1:1:0, 43750:2:2:1, , , 55750:3:3:0.77551, , 33250:3:4:0.358025;47250:1:1:0;26250:2:2:1, 3750:2:3:0.969697;18750:1:4:0.0491803, 42750:1:1:0;44250:2:2:0.928571;46250:1:1:0;47250:1:1:0;36750:1:1:0, 16750:2:2:1;38750:1:1:0;17750:1:1:0, 34250:1:1:0;16750:2:3:1;26750:1:1:0;17250:2:3:1;46250:2:3:1;35750:1:1:0, 41250:1:1:0;55250:1:1:0;29250:1:1:0;32250:3:4:0.111111;7750:1:1:0.00900901;31750:3:3:0.92381;13750:1:1:0;17250:2:2:1;7250:1:1:0;43750:1:1:0;12250:2:2:1;12750:1:1:0.0152672;3750:1:1:0;4250:1:1:0;6750:2:2:0.967742;5250:1:1:0;42750:1:1:0;15750:1:1:0;10250:2:2:1
yejG, 367.0, , , , , , , 28750:3:3:0.5, , 52750:1:1:0, , 51250:2:3:1, 35250:1:1:0;7250:1:1:0
yejH, 1401.7, , , , , , , , 8750:1:4:0.037037;11750:2:3:1;3750:3:6:0.866667, , , 4250:2:2:1, 16250:1:1:0;9250:1:1:0;45750:1:1:0;750:1:1:0;26750:3:4:0.0731707
yejK, 882.3, , , , , , , 26250:2:2:1, , , , 15750:1:4:0;12750:2:2:1, 3250:1:1:0
yejL;yejM, 1627.0, , 51750:1:1:0, , , , , 32750:1:1:0;28250:1:1:0, 5750:2:3:1, 58250:3:5:0.60177;53750:1:1:0;56750:3:5:0.0952381;38750:1:1:0.0909091, 59250:3:6:0.170732;45750:3:4:0.219512;35250:3:3:0.658537;47750:1:1:0;34750:1:1:0, 45750:1:1:0, 35750:1:1:0;36750:1:1:0.00961538;44250:3:3:0.903846;33750:3:4:0.0560748;48250:1:1:0;33750:1:1:0;26750:1:1:0
yejO, 2051.3, , , , , , , 41750:1:1:0;41750:1:1:0, 23250:1:1:0;27750:1:1:0;3750:1:1:0.0181818, 48750:1:1:0, 40750:1:1:0;50250:1:1:0;57750:3:6:0.166667;36250:2:2:1;48750:3:4:0.263158, 35250:2:3:1;21250:2:3:0.833333, 17750:1:1:0;37250:1:1:0;36250:3:3:0.91129;49750:3:4:0.0895522;3250:1:1:0
yfaD, 800.0, , , , , , , 51750:1:1:0, , , , 8750:1:1:0;10750:1:1:0, 4750:2:2:0.991935
yfaH, 260.0, , , , , , , , , , , 41250:1:1:0, 20250:2:2:0.990909
yfaL, 2964.0, , , 10750:1:1:0, , , , 41750:1:1:0;26250:2:2:1;53750:1:1:0, 30250:1:1:0;27250:1:1:0, 53250:1:1:0;48750:2:2:0.958678;50750:1:1:0.00735294;45750:2:2:0.9;48250:1:1:0, 58250:1:1:0;50250:1:1:0;55250:3:4:0.208333;26250:1:1:0;12750:2:2:1;16750:2:2:1;56250:1:1:0, 20750:1:1:0;29750:1:1:0;3250:1:4:0;32250:1:1:0, 8250:2:2:1;30750:3:4:0.0375;25750:1:1:0;16250:1:1:0;19750:1:1:0;26750:1:1:0
yfaO, 429.3, , , , , , , , , , , 6750:2:2:1, 47250:1:1:0.00980392;37250:2:3:0.945312;15750:1:1:0
yfaT;yfaA;yfaS;yfaP;yfaQ, 7171.0, 250:2:2:1, , , , , , 50250:3:3:0.442857;48250:1:1:0;53750:3:4:0.388889, 19750:2:3:1;36750:1:1:0, 53750:1:1:0;55250:1:1:0;38750:1:1:0, 7250:2:2:1;43750:2:2:0.976744;12250:2:2:1;50250:1:1:0;56750:1:1:0;3250:3:2:0.884615;29250:2:2:1, 41250:1:1:0;40750:2:3:0.909091;9750:1:1:0;20750:2:3:1;27750:1:1:0;29750:2:3:1;35750:1:1:0;34250:1:1:0;20750:2:3:1;48250:1:1:0;37250:2:3:1;17750:1:1:0;11750:2:2:0.875;10750:2:2:1, 59250:1:1:0.00943396;55750:1:1:0;10750:1:1:0;3250:1:1:0;24750:2:2:1;7250:1:1:0;29750:1:1:0;9250:2:2:0.992857;43750:1:1:0;7250:1:1:0;41250:1:1:0;41250:1:1:0;26750:3:4:0.0769231;10750:1:1:0;30250:1:1:0;27750:1:1:0;40750:2:3:0.933333;750:1:1:0;37750:3:3:0.923664;5250:1:1:0;750:1:1:0
yfaV;yfaW;yfaU;yfaX, 3356.7, , , , , , , 53250:1:1:0;28750:3:3:0.446154;52250:1:1:0;55750:3:3:0.652778, 19750:2:3:1, 34750:1:1:0, 40750:1:1:0;56250:3:4:0.207547;54750:1:1:0;56750:3:3:0.571429, 46250:1:1:0;35250:2:3:1;27250:2:3:1;47750:2:3:1;24750:2:3:1;41250:1:1:0, 11250:1:1:0;16750:2:2:1;9250:1:1:0;17750:1:1:0;22750:1:1:0;25750:1:1:0;8750:1:1:0;1250:1:1:0;54250:1:1:0;7250:1:1:0;7250:1:1:0;5250:2:2:1;25750:1:1:0;36250:1:1:0;35750:1:1:0;31250:3:4:0.0538462
yfaY, 1035.0, , , , , , , 38250:1:1:0, 15750:1:1:0;40750:1:4:0, , 35750:1:1:0, , 42750:3:4:0.0547945
yfaZ, 510.7, , , , , , , 51250:1:1:0, , , , 32750:1:1:0, 
yfbJ;yfbH;arnT;yfbG;yfbF;yfbE;yfbW, 5748.0, , , , , , , 57250:3:6:0.355932;53250:1:1:0;38750:1:1:0;49250:3:4:0.265625;29250:1:1:0;50750:3:3:0.568966;38750:1:1:0;26250:2:2:0.989474;52250:1:1:0, 14750:1:4:0.0243902;19250:1:4:0.0961538;17250:1:4:0;30250:2:3:0.979167, 43250:2:2:0.969231;43250:1:1:0.0123457;43250:1:1:0;37250:2:2:1, 29750:1:1:0;8750:1:1:0;43250:1:1:0;22750:1:1:0;37250:1:1:0;51250:1:1:0;17750:1:1:0;26250:1:1:0, 32750:1:1:0;20750:2:3:1;45750:1:1:0;34250:1:1:0;32750:2:2:0.866667;12250:1:1:0;3750:1:1:0, 34750:1:1:0;30250:3:4:0.0324675;27250:3:3:0.861538;1250:3:4:0.0555556;15750:1:1:0;58250:3:6:0.782178;43750:1:1:0;7250:1:1:0;29750:3:4:0.079646;30250:3:3:0.927007;55750:1:1:0.0075188;20250:2:2:1;17750:2:2:1;18250:1:1:0
yfbM, 489.3, , , , , , , 56750:1:1:0, , , 28750:2:2:1, , 41750:1:1:0.00609756;41250:1:1:0.00704225
yfbR;yfbQ, 1591.0, , , , , , , 53250:1:1:0, 19750:1:4:0.0227273, 56750:3:5:0.901099, 48750:3:4:0.422222, 46750:1:1:0, 6250:1:1:0;6750:1:1:0
yfbS, 1529.0, , , , , , , 48250:1:1:0, 6750:1:1:0, 50750:1:1:0, 53750:1:1:0, 13750:2:2:1;7250:2:2:1;23750:1:1:0, 4750:2:2:0.981818;43750:1:1:0;8250:1:1:0;8250:1:1:0;33750:1:4:0.0169492
yfbU;yfbT, 981.0, , , , , , , , , , 51250:1:1:0;16750:1:1:0.0384615, 26750:1:1:0, 9250:1:1:0
yfbV, 451.7, , , 53750:2:2:0.909091, , , , , , , 45250:3:3:0.679245;25250:1:1:0, 15250:1:1:0, 45750:3:4:0.0654206
yfcC, 1247.7, , , , , , , 41250:1:1:0;34250:3:4:0.241935;27750:1:1:0, , 57250:1:1:0, 54250:1:1:0, 6250:2:2:1;34250:1:1:0;32750:1:1:0, 750:1:1:0;8750:1:1:0;42250:3:4:0.0666667;53250:1:1:0;20750:2:2:1;5250:2:2:0.973684
yfcD;yfcE, 966.3, , , , , , , 25750:2:2:1, 30750:2:3:0.94, , 45250:3:4:0.150943, 35250:1:1:0;16750:1:1:0;32250:2:3:1;13750:1:1:0, 36250:1:1:0;35250:1:1:0;3750:1:1:0;24250:2:2:1;35750:1:1:0.0106383
yfcF, 598.0, , , , , , , , 44250:1:1:0;9250:1:4:0.04, , , 40750:2:6:0.894737;28250:1:1:0, 6750:1:1:0;36750:1:1:0;16250:1:1:0
yfcH;folX;yfcG, 1564.7, , , , , , , 55250:3:3:0.472973, 25250:1:1:0;27250:1:1:0.02;11750:1:1:0, , 48750:3:4:0.341463;36250:1:1:0;53250:1:1:0, 29750:1:1:0;9250:1:1:0;51250:1:1:0, 4250:2:2:0.98913;43250:1:1:0;20250:2:2:1
yfcI, 803.0, , , , , , , 26750:1:1:0;30250:3:3:0.590909, , , 57250:1:1:0.0181818;50750:1:1:0, 45750:1:1:0;7250:2:2:1, 27750:3:3:0.928994;31750:1:1:0;10750:1:1:0.00714286
yfcK, 1616.3, , , , , , , 42250:1:1:0;49750:1:1:0, 14750:1:4:0.0666667, 53250:1:1:0, 29250:1:1:0, 11250:1:1:0, 7750:1:1:0;46750:1:1:0;26750:3:4:0.040404;46750:1:4:0.015873
yfcL;yfcM;mepA;yfcA;yfcB;aroC, 3607.0, , 58750:3:5:0.344828, , , , , 40750:1:1:0;30250:3:3:0.462687;46250:3:4:0.318182;58250:3:6:0.0945946;57250:3:6:0.0689655;30750:3:3:0.58209, 12250:1:1:0;37750:1:1:0;12750:1:4:0.0869565;24250:2:3:0.945946, 58250:3:5:0.55102;44250:2:2:0.956044;24250:2:2:1, 19250:1:1:0;35250:1:1:0, 35250:2:6:0.928571;43750:2:3:1;41250:1:1:0;23750:2:3:1;16750:2:3:1;25250:1:1:0;31250:2:3:1, 10750:1:1:0;3750:1:1:0;25750:2:2:1;10250:1:1:0.010989;41750:1:1:0;24750:2:2:1;18250:1:1:0;3750:1:1:0;34250:1:1:0;60750:3:4:0.046729;13750:1:1:0;3250:1:1:0;21250:1:1:0.0151515
yfcN, 498.0, , , , , , , , , 49750:2:2:0.894737, , , 8750:1:1:0
yfcO;yfcTU;yfcP;yfcQ;yfcR;yfcS, 4566.3, , , , , , , 51250:1:1:0;55250:3:4:0.3375;47250:1:1:0;30250:3:3:0.622222, 21250:1:1:0;6250:1:1:0, 47750:1:1:0;42250:1:1:0, 50750:1:1:0;7250:2:2:0.977273;54250:1:1:0, 58750:3:6:0.825;39250:1:1:0;27250:1:1:0;41250:1:1:0;31250:1:1:0;45750:1:1:0.0454545;17250:2:3:1;32750:1:1:0;13250:1:1:0;8250:2:2:0.95;40750:2:3:1, 30250:1:1:0.00628931;25250:1:1:0;7250:1:1:0;8750:1:1:0;37750:1:1:0;38250:1:1:0.00526316;1750:1:1:0;20250:2:2:1;18250:1:1:0;3250:1:1:0;6750:1:1:0;14250:1:1:0;17250:1:1:0.00787402;27250:1:1:0
yfcV, 545.0, , , , , , , , , , , 45750:1:1:0, 34750:1:1:0
yfcX;yfcY, 2785.0, , , , , , , 58750:3:6:0.158416;53750:1:1:0;49750:1:1:0, 11750:1:1:0;12250:2:3:1, 48750:2:2:0.904255;57250:1:1:0;50250:2:2:0.858407;36750:1:1:0, 14250:1:1:0, 15250:1:1:0;32250:1:1:0;27750:1:1:0;25750:1:1:0;12250:2:2:1;38250:1:1:0;10250:1:1:0;8250:2:2:1, 16750:1:1:0;42750:3:4:0.0327869;17250:1:1:0;750:1:1:0;30250:1:1:0;26750:1:1:0;20250:1:1:0;750:1:1:0
yfcZ, 322.7, , , , , , , , 21250:2:3:0.97561, 57750:3:5:0.020202, , , 
yfdC, 826.7, , , , , , , 33750:3:3:0.632353, , 38750:1:1:0, 3750:3:4:0.290323, , 8750:1:1:0
yfdE, 976.3, , , , , , , 27250:3:4:0.415584;28250:1:1:0, , , , 41250:1:1:0, 42250:1:1:0;26750:1:1:0
yfdU;yfdW;yfdV, 3336.3, , , , , , , 46750:3:4:0.385714;32250:1:1:0;26250:2:2:1, 56750:1:4:0;24750:2:3:0.934783, 39750:1:1:0;42750:1:1:0, 55750:3:4:0.318841;41250:1:1:0;51750:1:1:0, 31750:2:3:1;25750:1:1:0, 12250:1:1:0;55250:1:1:0;750:1:1:0;16250:1:1:0;60750:3:6:0.0707965;8250:1:1:0.00689655;7250:2:2:1;10250:2:2:1
yfdX, 611.0, , , , , , , 52250:1:1:0, , 48750:2:2:0.92623, , , 42250:3:4:0.0629921
yfdY, 292.3, , , , , , , , , , , 8750:1:1:0, 14250:1:1:0
yfdZ, 1052.3, , , , , , , 49750:1:1:0, 1750:2:2:1;3750:1:1:0;18250:1:1:0, 40750:1:1:0.0652174, 45250:3:3:0.72093, 22250:1:1:0, 42750:3:4:0.0813953
yfeA, 1805.3, , , , , , , 41750:1:1:0;41250:3:3:0.637681;40750:3:3:0.597015;34250:3:3:0.588235, 31750:1:1:0, 51250:1:1:0, 50250:1:1:0;45250:1:1:0, 23750:1:1:0;29750:1:1:0, 54750:1:1:0;24750:2:2:1;10250:2:2:0.971698;13750:1:1:0;56750:1:1:0
yfeC;yfeD, 669.3, , , , , , , , , , 53750:3:3:0.619048;57250:1:1:0, 19250:1:4:0, 36250:1:1:0;7750:1:1:0;4750:2:2:0.982456
yfeH, 757.0, , , , , , , , , , 48750:1:1:0;26250:1:1:0, 54250:1:1:0, 21750:2:2:1
yfeK;yfeS, 926.7, , , , , , , 30750:3:3:0.61194, , 47250:1:1:0, 55250:1:1:0, , 4250:2:2:0.992537;61750:3:6:0.244755
yfeO, 1033.3, , , , , , , 32750:1:1:0;37250:3:3:0.584906, 41750:1:4:0.031746, 35250:2:2:0.910891, 6750:2:2:0.980769, 22250:2:2:1, 35250:1:1:0;31750:2:3:0.957627;19250:3:3:0.901235;4750:2:2:0.989583;11750:1:1:0;21750:2:2:1
yfeT, 761.0, , , , , , 21250:3:4:0.328767, , 19750:1:1:0, , , 32750:1:1:0, 28750:1:1:0
yfeV;yfeW;yfeU, 1881.7, , , , , , , 38750:1:1:0, 28750:1:1:0;17250:2:3:1;20750:2:3:1;27750:1:1:0, 45750:1:1:0;41250:1:1:0;47750:1:1:0;56250:1:1:0;40750:1:1:0, , 43750:1:1:0;28750:2:3:1;25250:2:3:1, 8750:1:1:0;14250:1:1:0;6250:1:1:0;4750:1:1:0;20750:1:1:0
yfeX;yfeY, 1293.3, , , , , , , 29250:1:1:0, 39750:2:3:0.983051;18750:1:4:0.0322581;10250:2:3:0.96875, , , 43750:1:1:0, 54750:1:1:0;15750:1:1:0;54750:1:1:0;8750:1:1:0;4750:2:2:0.984962
yfeZ;ypeA, 768.3, , , , , , , 28750:3:3:0.569444, 11750:1:1:0, 47250:1:1:0, 9750:1:1:0, 22750:2:3:1, 3250:1:1:0
yfgB, 985.0, , , , , , , , , 43250:3:5:0.105769, , 7750:1:1:0;40750:2:3:1, 55750:1:1:0;15750:1:1:0
yfgD;yfgC, 1517.3, , , , , , , 34250:3:4:0.411765, 15750:1:1:0, 41250:3:5:0.0655738, 20250:1:1:0, 42250:2:3:0.941176, 36250:1:1:0;22250:1:1:0;59750:3:4:0.0485437;1750:1:1:0.00806452
yfgF, 1862.0, , , , , , , 33250:1:1:0;45750:3:3:0.564516;41250:1:1:0, 31750:2:3:0.842105, 34750:1:1:0, , 16250:1:1:0, 12250:1:1:0;31750:3:4:0.0735294;8750:1:1:0;23750:1:1:0
yfgG, 249.7, , , , , , , , 11750:1:1:0, 43250:1:1:0, , , 
yfgH;yfgI, 937.7, , , , , , , , , , , 35250:2:3:1;27250:1:1:0;34250:1:1:0;9250:2:2:1, 15750:1:1:0;7750:1:1:0;29750:1:1:0.008;750:1:1:0;9250:1:1:0;37250:3:3:0.920455
yfgJ;yfgK, 1471.7, , , , 41250:1:1:0, , , 30250:3:3:0.561798, 43750:1:1:0;19250:1:4:0.012987;4750:1:1:0, , 40750:1:1:0;17750:1:1:0, 40750:1:1:0;45250:1:1:0;21250:1:1:0;33750:1:1:0, 12250:2:2:1
yfgL;yfgM;hisS, 2509.7, , , 49750:1:1:0, , , , 40250:1:1:0;48750:1:1:0;53750:3:4:0.493976, , 53750:3:5:0.851852;44750:2:2:0.872881, 44750:1:1:0;16250:1:1:0;37750:3:4:0.28, 42250:1:1:0;14250:2:2:1;26250:1:1:0;8750:1:1:0;4250:1:1:0, 7250:1:1:0;16250:1:1:0
yfhA;glnB;yfhG, 1941.3, , , , , , , , , , 50250:1:1:0;38250:3:3:0.69697;25750:1:1:0;20750:2:2:1, 38250:1:1:0;27750:1:1:0;9750:1:1:0, 17250:2:2:1;8750:1:1:0
yfhB;tadA, 974.0, , , , , , , 26250:2:2:1, 24250:1:4:0.0243902;7750:2:3:0.933333, 37250:1:1:0, 29250:2:2:1, 40750:2:3:1;19250:1:4:0;2750:2:2:1, 8250:1:1:0;11750:1:1:0;1750:1:1:0;4750:2:2:0.993151;750:1:1:0
yfhH;yfhL, 1011.0, , , , , , , 49750:1:1:0, 17250:2:3:0.966667, , 34750:1:1:0, , 45750:3:4:0.0659898
yfhK, 1205.0, , , , , , , 53750:1:1:0, 22250:1:4:0.0434783;3750:1:1:0, 29250:2:2:1, 59250:3:4:0.227273, 29750:1:1:0;32250:1:1:0;27250:2:3:1, 32750:1:1:0;23750:1:1:0;3250:1:1:0
yfhM;pbpC, 5691.3, , , 15750:2:2:0.962963, , , , 41250:1:1:0;49750:1:1:0;57250:3:6:0.243243, 25250:1:4:0.0512821;12750:1:1:0, 56750:1:1:0;49250:2:2:0.931034;36750:2:2:1;47250:1:1:0, 45250:3:3:0.62;28750:1:1:0;25750:1:1:0;25250:2:2:1;48750:3:4:0.175;15750:1:1:0;12750:2:2:1, 19750:2:3:1;46250:1:1:0;45750:1:1:0.04, 2750:1:1:0;18250:1:1:0;8250:1:1:0;29250:1:1:0;26750:1:1:0.0106383;13750:2:2:1;42750:3:4:0.0743802;55750:1:1:0;35750:1:1:0
yfhQ, 670.3, , , , , , , , , , , , 13750:1:1:0
yfhR, 783.0, , 30250:2:2:1, , , , , 43750:1:1:0, , 48250:1:1:0;48250:2:2:0.861386, 40250:3:4:0.351351, , 11250:1:1:0;25250:2:2:1
yfiC, 655.7, , , , , , , 34250:1:1:0, 1750:2:2:1, , , 15250:1:1:0, 
yfiD, 379.7, , , , , , , , , , , 12250:1:1:0, 
yfiE, 780.3, , , , , , , , , 50750:2:2:0.91453, , 41250:1:1:0;40250:1:1:0;37250:1:1:0, 27250:3:4:0.0283688;8250:2:2:0.98913
yfiF, 889.3, , , , , , , 26250:2:2:1, , 35750:1:1:0, , , 32250:2:3:0.986667
yfiK, 445.7, , , , , , , 31250:1:1:0, , , , 45750:1:1:0;25250:1:4:0;12250:2:2:1;58250:2:6:0.842105, 9250:2:2:1;750:1:1:0
yfiL, 390.0, , , , , , , , , 49750:1:1:0;47250:1:1:0, 10250:1:1:0;48250:1:1:0;53250:1:1:0, , 
yfiM;kgtP, 1438.7, , , , , , , 39250:3:3:0.427083, 15750:1:1:0, 42250:3:5:0.869919, 21750:1:1:0;10250:1:1:0, 35250:2:3:1, 6750:1:1:0
yfiN;yfiB;yfiR, 1814.7, 16750:1:1:0, , , , , , 35250:3:3:0.666667;48750:1:1:0;53750:3:4:0.466667, , 28250:1:1:0;48750:2:2:0.913793;52750:1:1:0;43250:2:2:0.927152, 9250:1:1:0;43750:1:1:0;29750:1:1:0;53750:3:6:0.342857, 43750:1:1:0;10750:1:1:0;35250:1:1:0, 4750:2:2:1;11750:2:2:1;23750:1:1:0;7750:1:1:0;36250:1:1:0;20750:2:2:0.992908;44750:3:4:0.0381679
yfiO, 605.7, , , , , , , 45250:1:1:0;34250:3:4:0.561798, , , 12250:2:2:1, 19750:2:3:1, 3750:1:1:0
yfiP;yfiQ, 2654.3, , , , , 42750:2:3:0.945455, , 44250:1:1:0, 8750:1:4:0, 47250:1:1:0;56250:1:1:0;40250:1:1:0, 49750:1:1:0;55750:3:4:0.291667, 41250:1:1:0;26750:2:3:1;29750:1:1:0;43250:1:1:0;41250:1:1:0;9250:1:1:0, 37250:1:1:0.0108696;15750:1:1:0;43750:3:4:0.111111;30250:1:1:0;40750:3:3:0.9;19750:2:2:1
yfjD, 1011.0, , , , , , , 38250:1:1:0;53750:3:4:0.515625;49750:1:1:0;53750:3:4:0.304348, , 38750:1:1:0;35250:1:1:0, , 10250:1:1:0, 19750:1:1:0;30250:1:1:0;23750:1:1:0
yfjG;yfjF, 683.3, , , , , , , , , 43750:1:1:0, 53750:1:1:0;30250:2:2:0.980392, 32750:1:1:0, 37750:1:1:0
ygaC, 370.3, , , , , , , , , , , , 
ygaE;gabP, 1688.0, , , , , , , 32750:1:1:0, 23750:1:4:0.0232558;12250:1:1:0, , 50250:1:1:0;41750:1:1:0;44750:3:4:0.3, 26750:1:1:0;25250:2:3:1;13250:2:2:1, 47750:3:3:0.91954;26750:3:3:0.899083;31250:3:4:0.0964912;6750:1:1:0;34750:3:3:0.893805;7250:1:1:0
ygaG, 502.3, , , , , , , , 17750:1:4:0.0375, , , 45750:1:1:0, 53750:3:6:0.183824;30250:1:1:0
ygaM, 304.7, , , , , , , , 36250:2:3:0.916667, , , , 18250:3:3:0.923729;24750:1:1:0
ygaP;ygaV, 722.7, , , , , , , , , 42750:1:1:0, 24250:1:1:0, , 37750:1:1:0;18250:1:1:0;10750:1:1:0
ygaW, 450.0, , , , , , , , , , 24750:2:2:1, 10250:1:1:0, 9250:1:1:0;37250:2:3:0.929078
ygaX, 971.3, , , 31750:1:1:0, , , , 45750:3:3:0.56962, , 44250:2:2:0.947368, , , 52750:1:1:0;30250:1:1:0.00892857
ygaZ;ygaH, 894.0, , , , , 17750:3:3:0.883333, , , 9250:3:6:0.807018, , 34750:1:1:0;10250:1:1:0;7250:2:2:1, 34250:1:1:0;50250:2:6:0.769231;10250:1:1:0, 13750:1:1:0;250:1:1:0;48750:3:4:0.0357143;33750:3:4:0.0471698
